Downloaded on,03/10/2025,19:11:46 EDT,,,,,,,,,,,,
Search URL,https://www.congress.gov/search?q=%7B%22source%22%3A%22all%22%2C%22search%22%3A%22legislativeSource%3A%5C%22Legislation%5C%22+AND+congressId%3A118+AND+actionCode%3A%5C%225000%5C%22+AND+chamber%3A%5C%22House%5C%22%22%7D,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Legislation Number,URL,Congress,Title,Sponsor,Date of Introduction,Committees,Latest Action,Latest Action Date,Number of Cosponsors,Amends Bill,Date Offered,Date Submitted,Date Proposed,Amends Amendment
H.R. 4984,https://www.congress.gov/bill/118th-congress/house-bill/4984,118th Congress (2023-2024),D.C. Robert F. Kennedy Memorial Stadium Campus Revitalization Act,"Comer, James [Rep.-R-KY-1]",07/27/2023,"House - Natural Resources, Oversight and Accountability, Transportation and Infrastructure | Senate - Energy and Natural Resources",Became Public Law No: 118-274.,01/06/2025,21,,,,,
H.R. 6062,https://www.congress.gov/bill/118th-congress/house-bill/6062,118th Congress (2023-2024),"To restore the ability of the people of American Samoa to approve amendments to the territorial constitution based on majority rule in a democratic act of self-determination, as authorized pursuant to an Act of Congress delegating administration of Federal territorial law in the territory to the President, and to the Secretary of the Interior under Executive Order 10264, dated June 29, 1951, under which the Constitution of American Samoa was approved and may be amended without requirement for further congressional action, subject to the authority of Congress under the Territorial Clause in article IV, section 3, clause 2 of the United States Constitution.","Radewagen, Aumua Amata Coleman [Del.-R-AS-At Large]",10/25/2023,House - Natural Resources | Senate - Energy and Natural Resources,Became Public Law No: 118-232.,01/04/2025,2,,,,,
H.R. 6395,https://www.congress.gov/bill/118th-congress/house-bill/6395,118th Congress (2023-2024),Recognizing the Importance of Critical Minerals in Healthcare Act of 2023,"Curtis, John R. [Rep.-R-UT-3]",11/14/2023,House - Natural Resources | Senate - Energy and Natural Resources,Became Public Law No: 118-233.,01/04/2025,3,,,,,
H.R. 5443,https://www.congress.gov/bill/118th-congress/house-bill/5443,118th Congress (2023-2024),AACE Act,"Lee, Susie [Rep.-D-NV-3]",09/13/2023,House - Natural Resources | Senate - Energy and Natural Resources,Became Public Law No: 118-230.,01/04/2025,13,,,,,
H.R. 9076,https://www.congress.gov/bill/118th-congress/house-bill/9076,118th Congress (2023-2024),Supporting America’s Children and Families Act,"LaHood, Darin [Rep.-R-IL-16]",07/22/2024,House - Ways and Means | Senate - Finance,Became Public Law No: 118-258.,01/04/2025,23,,,,,
H.R. 9487,https://www.congress.gov/bill/118th-congress/house-bill/9487,118th Congress (2023-2024),House Office of Legislative Counsel Modernization Act,"Steil, Bryan [Rep.-R-WI-1]",09/06/2024,House - House Administration,Became Public Law No: 118-263.,01/04/2025,1,,,,,
H.R. 7938,https://www.congress.gov/bill/118th-congress/house-bill/7938,118th Congress (2023-2024),Klamath Basin Water Agreement Support Act of 2024,"Bentz, Cliff [Rep.-R-OR-2]",04/11/2024,House - Natural Resources,Became Public Law No: 118-246.,01/04/2025,0,,,,,
H.R. 8012,https://www.congress.gov/bill/118th-congress/house-bill/8012,118th Congress (2023-2024),Jackie Robinson Ballpark National Commemorative Site Act,"Waltz, Michael [Rep.-R-FL-6]",04/15/2024,House - Natural Resources,Became Public Law No: 118-247.,01/04/2025,50,,,,,
H.R. 7365,https://www.congress.gov/bill/118th-congress/house-bill/7365,118th Congress (2023-2024),VETS Safe Travel Act,"Gosar, Paul A. [Rep.-R-AZ-9]",02/15/2024,"House - Homeland Security, Veterans' Affairs | Senate - Commerce, Science, and Transportation",Became Public Law No: 118-238.,01/04/2025,47,,,,,
H.R. 5103,https://www.congress.gov/bill/118th-congress/house-bill/5103,118th Congress (2023-2024),FISHES Act,"Donalds, Byron [Rep.-R-FL-19]",08/01/2023,"House - Natural Resources | Senate - Commerce, Science, and Transportation",Became Public Law No: 118-229.,01/04/2025,49,,,,,
H.R. 6492,https://www.congress.gov/bill/118th-congress/house-bill/6492,118th Congress (2023-2024),EXPLORE Act,"Westerman, Bruce [Rep.-R-AR-4]",11/29/2023,"House - Natural Resources, Agriculture, Veterans' Affairs",Became Public Law No: 118-234.,01/04/2025,51,,,,,
H.R. 670,https://www.congress.gov/bill/118th-congress/house-bill/670,118th Congress (2023-2024),Think Differently Database Act,"Molinaro, Marcus J. [Rep.-R-NY-19]",01/31/2023,House - Energy and Commerce,Became Public Law No: 118-225.,01/04/2025,26,,,,,
H.R. 3391,https://www.congress.gov/bill/118th-congress/house-bill/3391,118th Congress (2023-2024),Gabriella Miller Kids First Research Act 2.0,"Wexton, Jennifer [Rep.-D-VA-10]",05/16/2023,"House - Energy and Commerce | Senate - Health, Education, Labor, and Pensions",Became Public Law No: 118-228.,01/04/2025,37,,,,,
H.R. 1318,https://www.congress.gov/bill/118th-congress/house-bill/1318,118th Congress (2023-2024),Women’s Suffrage National Monument Location Act,"Neguse, Joe [Rep.-D-CO-2]",03/01/2023,House - Natural Resources,Became Public Law No: 118-226.,01/04/2025,37,,,,,
H.R. 2997,https://www.congress.gov/bill/118th-congress/house-bill/2997,118th Congress (2023-2024),CONVEY Act,"Boebert, Lauren [Rep.-R-CO-3]",04/28/2023,House - Natural Resources | Senate - Energy and Natural Resources,Became Public Law No: 118-227.,01/04/2025,2,,,,,
